,primary_site,case_uuid,rna_seq_uuid
0,Blood,86b02ac9-234a-58be-a8a1-3ab4173f58f9,9b07e3e2-92f5-453a-bac6-a37bd3a31521
1,Blood,c686357c-f5e9-5513-98f0-e405f5ac19f6,aefaf5c1-8e2d-49c0-bdcc-042144cd1326
2,Blood,0e6764f4-12e5-50e0-8c63-163fdca0ab3a,3bd62adc-56b6-474e-89ee-783c29a7bfe4
3,Blood,28decb5e-144d-5565-a20d-93fda4238956,bdf65cd2-3b99-4b7d-9136-5c510fffdbaa
4,Blood,0b08b8c4-a0ce-5dd7-8386-609aac3a7f11,4cb805b4-21fe-4082-85b3-c68e4fb9a3a7
5,Blood,798f95cc-ae1e-5307-a776-9e562c3a7bd2,f512443f-2863-457d-8982-fb63f69d09b8
6,Blood,082f81eb-f43e-5e2a-bb4e-89380c9faf22,4869f33b-2ff6-4346-b1d7-482667ad832b
7,Blood,1d199d1b-e2f0-59c2-aed8-92bda9125502,a24ed7a8-78d4-4423-acf3-322e1cbba5f7
8,Blood,433b718c-692a-56f3-8e4a-254968c7e603,232033c2-78fe-4cf5-bdeb-d3e13a61bc7f
9,Blood,3a79e9ee-b995-5417-aae8-af4f89d3fdd3,2a70fb43-7396-432a-9f98-c17f079e87fe
10,Blood,d34caaea-daae-5ce7-9ae7-5e8124a02a5a,34113122-04f7-4725-a856-a8aeee74f4ee
11,Blood,dc24dd08-2a7c-5b1a-82c9-1d850aec9baa,08623f96-fd18-46f2-91f2-d54635f250c6
12,Blood,d0017b1d-2364-5eea-8ff2-107c0e300ea5,4074cc80-4def-43b4-b73e-8ab33d7f4204
13,Blood,91350aaa-3d70-5daa-90bf-18f91c173968,2a6e70b5-d62c-428d-81ba-d49739095315
14,Blood,6b46711f-17f9-510a-baa4-8910820f557b,1dad406a-608c-41af-bcfe-1dc27c72441f
15,Blood,367c87b1-b420-5d7d-9688-b5e360fa4fdb,e3257095-128f-44d0-accd-ce1cdae07ceb
16,Blood,7a9d7f4d-161e-5133-88ce-14d0b2c904fc,609baffb-55af-409d-8dbd-d255fb88e3d6
17,Blood,f5dc3051-e7cb-5857-aab6-436f1c500670,e5705457-03b5-47a3-b7c9-14f6c8aefd5f
18,Blood,d2c3ee22-5cd2-5f6d-9c6d-b0deb9e6a0ad,b1029dc7-d57d-4cb1-b4ee-00f841376230
19,Blood,f3daca13-f526-5b9f-b434-9d87e827014d,61822040-c477-4854-8fcd-9f6715667d7a
20,Blood,d3e45fd3-fc4e-59ec-8f32-b80665f21845,19a04618-6055-407f-9149-4ff374bf86a7
21,Blood,965d5966-baf3-5496-afb8-df8e164365a3,21299487-9511-47e8-80ae-8839492140e0
22,Blood,f1116404-e796-5d7a-8ede-cb7cb990384b,06fd8556-bb86-4eca-8f05-96bcbf17c6a4
23,Blood,a2dd8223-9dcd-553b-a73f-cabb97c69037,28b41a23-ee00-49f2-b34d-0b2aa1af7dbf
24,Blood,0a30a0cf-28b5-5342-850d-ea6fbe9aa356,805cd1b8-d2e6-4d6a-b062-2299a3eee2dc
25,Blood,c17700e2-30a6-52c2-beb7-918a0d02df1b,a92e22ae-5089-4219-9f10-23e2b4ed2b89
26,Blood,aa86e3e9-2533-5e00-9e25-8cc52ab65fd1,042d6156-101d-4486-bb74-19d85a0a0e20
27,Blood,3f6c71c5-b284-5fd5-8911-51e3a5cc68b5,f6de05a5-929c-406e-a5f9-d76a4d5e41e7
28,Blood,8c10ad2f-6c2a-5cb4-b9e2-ed5dd372c70f,e3372d29-44e9-46a1-a601-52e86cda99ca
29,Blood,dd6a2f68-5cb0-5f3c-8d4c-1bde44add6ac,c97416d0-d1d7-4a1b-9e9f-143d65d76050
30,Blood,9d24c3a5-8445-54d8-b87b-c036aad8647f,5792ad07-ae81-435d-a46c-c5f64fdf86fa
31,Blood,fca75245-6b67-56ab-b880-ab182d7954d6,b5a3fe81-6634-4c1a-ac2c-18a5c984a50d
32,Blood,c3670ebd-1d43-5491-ac10-a158e12c560b,7074db0d-84a5-4388-957e-c68a5cef4f56
33,Blood,ea1e8241-94d8-5d6a-bbbb-b41002ff3035,1d5c7704-2995-482a-b3ce-3b6213addd91
34,Blood,53e602f5-16ea-5971-805d-229fd5b4299b,8bb94cb0-c63b-400a-9f0d-e73b71754356
35,Blood,84200a3f-e28c-5352-a320-30a43985e8c9,fb75cee6-cd4b-4a61-80e5-ee8c5cf035f0
36,Blood,f523f8ab-3985-520b-8ea6-89fd016da615,9cfa69c0-6013-449f-aaad-636309fa31ce
37,Blood,245431e8-a107-54d7-8cfc-7289fdc5245b,d332b8f1-12e4-493c-84e7-ad13dfd04dd0
38,Blood,78870a27-cb4f-5bd3-ba90-06cebe098f32,323500f1-c032-4848-bebf-5a2b36d355e0
